Lambda_0.01_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_1_Ny_0_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_100_malicious_appear_num_1_malicious_appear_type_0_Method_1_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~900~900~e_RA_fTA~2000~2000~1200~1200~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,1,100000,50035,0,99990,0,50000,0,100000,0,45,40,0,0,76,0,670686,841406,0,841406,0,982,0,982,-1,0,0,991,50.3586,49.1829
2,1,100000,50000,0,99999,0,50000,0,100000,0,43,40,0,0,78,0,673376,835820,0,835820,0,975,0,975,-1,0,0,982,50.9511,51.6177
3,1,100000,50000,0,99988,0,50000,0,100000,0,46,38,0,0,72,0,697317,880542,0,880542,0,1030,0,1030,-1,0,0,1041,47.9962,50.0469
4,1,100000,50000,0,99994,0,50000,0,100000,0,65,59,0,0,77,0,709520,887958,0,887958,0,1048,0,1048,-1,0,0,1062,47.1206,46.3209
5,1,100000,50071,0,99985,0,50000,0,100000,0,46,54,0,0,65,0,703698,844675,0,844675,0,993,0,993,-1,0,0,1007,49.6759,50.799
6,1,100000,50000,0,100000,0,50000,0,100000,0,40,45,0,0,73,0,636238,821709,0,821709,0,966,0,966,-1,0,0,972,51.3285,51.6969
7,1,100000,50000,0,99995,0,50000,0,100000,0,43,63,0,0,69,0,700861,889571,0,889571,0,1048,0,1048,-1,0,0,1056,47.3886,46.4826
8,1,100000,50000,0,99998,0,50000,0,100000,0,51,45,0,0,71,0,726416,865621,0,865621,0,1007,0,1007,-1,0,0,1012,49.4174,49.3144
9,1,100000,50000,0,99995,0,50000,0,100000,0,35,63,0,0,75,0,764381,875967,0,875967,0,1023,0,1023,-1,0,0,1033,48.4448,49.2783
10,1,100000,50000,0,99991,0,50000,0,100000,0,61,53,0,0,72,0,654033,838716,0,838716,0,986,0,986,-1,0,0,996,50.1809,48.4929
