Lambda_0.01_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_1_Ny_0_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_0_malicious_appear_type_0_Method_1_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_100000_TA~2000~2000~800~800~e_RA_fTA~2000~2000~800~800~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,1,150000,50000,0,149997,0,50000,0,150000,0,59,54,0,0,79,0,1687515,1804802,0,1804802,0,2370,0,2370,-1,0,0,2383,41.9706,42.8954
2,1,150000,50000,0,149915,0,50000,0,150000,0,59,31,0,0,55,0,604441,1074416,0,1074416,0,1446,0,1446,-1,0,0,1461,68.4911,69.2926
3,1,150000,50059,0,149991,0,50000,0,150000,0,56,66,0,0,94,0,1743676,1833770,0,1833770,0,2396,0,2396,-1,0,0,2407,41.5116,41.3685
4,1,150000,50000,0,150000,0,50000,0,150000,0,57,79,0,0,100,0,2398635,2179719,0,2179719,0,2823,0,2822,-1,0,0,2834,35.2962,36.2572
5,1,150000,50068,0,150000,0,50000,0,150000,0,52,46,0,0,57,0,910765,1269763,0,1269763,0,1686,0,1686,-1,0,0,1692,59.126,60.3488
6,1,150000,50013,0,149982,0,50000,0,150000,0,28,38,0,0,56,0,569980,1014472,0,1014472,0,1379,0,1379,-1,0,0,1386,71.9755,72.4337
7,1,150000,50000,0,149997,0,50000,0,150000,0,41,48,0,0,65,0,900332,1268724,0,1268724,0,1728,0,1727,-1,0,0,1734,57.7017,57.8399
8,1,150000,50000,0,149999,0,50000,0,150000,0,58,71,0,0,83,0,1751607,1833102,0,1833102,0,2382,0,2382,-1,0,0,2388,41.8877,41.0219
9,1,150000,50000,0,149999,0,50000,0,150000,0,50,58,0,0,84,0,1570313,1687365,0,1687365,0,2202,0,2201,-1,0,0,2209,45.2536,44.4074
10,1,150000,50065,0,149996,0,50000,0,150000,0,46,64,0,0,67,0,1017458,1387135,0,1387135,0,1842,0,1842,-1,0,0,1847,54.1446,52.1892
11,1,150000,50000,0,149995,0,50000,0,150000,0,45,37,0,0,59,0,732307,1139444,0,1139444,0,1527,0,1527,-1,0,0,1530,65.399,64.9516
12,1,150000,50000,0,149997,0,50000,0,150000,0,65,70,0,0,96,0,2513030,2208217,0,2208217,0,2851,0,2849,-1,0,0,2854,35.0445,34.2601
13,1,150000,50000,0,149986,0,50000,0,150000,0,40,44,0,0,74,0,1241739,1486134,0,1486134,0,1961,0,1961,-1,0,0,1969,50.8095,52.3734
14,1,150000,50000,0,149997,0,50000,0,150000,0,43,37,0,0,74,0,1161389,1410898,0,1410898,0,1863,0,1863,-1,0,0,1868,53.4772,56.7969
15,1,150000,50000,0,149997,0,50000,0,150000,0,55,50,0,0,67,0,1038076,1358240,0,1358240,0,1813,0,1812,-1,0,0,1819,55.0006,54.8209
16,1,150000,50000,0,149994,0,50000,0,150000,0,36,73,0,0,74,0,1413076,1571143,0,1571143,0,2067,0,2066,-1,0,0,2073,48.2066,49.6405
17,1,150000,50151,0,149977,0,50000,0,150000,0,39,36,0,0,61,0,892635,1256868,0,1256868,0,1666,0,1666,-1,0,0,1672,59.7217,60.6174
18,1,150000,50000,0,149999,0,50000,0,150000,0,51,56,0,0,72,0,1128407,1451965,0,1451965,0,1962,0,1962,-1,0,0,1972,50.7067,50.313
19,1,150000,50028,0,149998,0,50000,0,150000,0,63,72,0,0,95,0,2176798,2037443,0,2037443,0,2654,0,2654,-1,0,0,2664,37.543,37.9952
20,1,150000,50000,0,149997,0,50000,0,150000,0,74,81,0,0,98,0,2755925,2321364,0,2321364,0,2992,0,2990,-1,0,0,3004,33.2874,32.9606
21,1,150000,50036,0,149995,0,50000,0,150000,0,51,42,0,0,56,0,777207,1182326,0,1182326,0,1593,0,1592,-1,0,0,1602,62.4585,61.8391
22,1,150000,50015,0,150000,0,50000,0,150000,0,62,68,0,0,100,0,2531607,2205439,0,2205439,0,2843,0,2843,-1,0,0,2851,35.0628,35.2632
23,1,150000,50010,0,149979,0,50000,0,150000,0,61,49,0,0,82,0,1642222,1748442,0,1748442,0,2279,0,2279,-1,0,0,2290,43.6872,44.3288
24,1,150000,50008,0,149985,0,50000,0,150000,0,42,42,0,0,79,0,1737451,1776425,0,1776425,0,2318,0,2318,-1,0,0,2331,42.9039,43.5916
25,1,150000,50056,0,149982,0,50000,0,150000,0,43,39,0,0,64,0,900756,1280514,0,1280514,0,1730,0,1730,-1,0,0,1740,57.4945,58.5933
26,1,150000,50000,0,149990,0,50000,0,150000,0,44,35,0,0,50,0,576824,1017738,0,1017738,0,1375,0,1375,-1,0,0,1385,72.1329,67.12
27,1,150000,50049,0,149990,0,50000,0,150000,0,44,37,0,0,71,0,1054002,1375327,0,1375327,0,1835,0,1835,-1,0,0,1840,54.3274,54.582
28,1,150000,50000,0,149984,0,50000,0,150000,0,64,44,0,0,67,0,978392,1366684,0,1366684,0,1809,0,1808,-1,0,0,1818,55.0352,56.0844
29,1,150000,50000,0,149997,0,50000,0,150000,0,55,50,0,0,79,0,1789226,1842488,0,1842488,0,2392,0,2390,-1,0,0,2398,41.6362,42.4861
30,1,150000,50000,0,149998,0,50000,0,150000,0,63,71,0,0,81,0,1598467,1739679,0,1739679,0,2316,0,2315,-1,0,0,2321,43.1,42.659
31,1,150000,50000,0,149994,0,50000,0,150000,0,60,34,0,0,62,0,730227,1164054,0,1164054,0,1601,0,1600,-1,0,0,1606,62.2249,62.5735
32,1,150000,50000,0,149997,0,50000,0,150000,0,62,61,0,0,93,0,2140247,2004446,0,2004446,0,2610,0,2610,-1,0,0,2626,38.0937,38.4235
33,1,150000,50000,0,149999,0,50000,0,150000,0,57,56,0,0,85,0,1978658,1921721,0,1921721,0,2512,0,2511,-1,0,0,2522,39.6644,39.7221
34,1,150000,50000,0,149996,0,50000,0,150000,0,65,40,0,0,73,0,1164904,1428615,0,1428615,0,1915,0,1914,-1,0,0,1929,51.8356,52.2723
35,1,150000,50000,0,150000,0,50000,0,150000,0,56,76,0,0,98,0,2357620,2118174,0,2118174,0,2745,0,2744,-1,0,0,2751,36.3625,36.2481
36,1,150000,50043,0,149999,0,50000,0,150000,0,67,58,0,0,80,0,1687077,1794743,0,1794743,0,2343,0,2343,-1,0,0,2346,42.6435,43.1235
37,1,150000,50000,0,149999,0,50000,0,150000,0,61,60,0,0,80,0,1418665,1626203,0,1626203,0,2132,0,2132,-1,0,0,2142,46.6777,47.3552
38,1,150000,50082,0,149996,0,50000,0,150000,0,60,41,0,0,77,0,1359906,1620941,0,1620941,0,2123,0,2123,-1,0,0,2129,46.9107,46.0809
39,1,150000,50000,0,149999,0,50000,0,150000,0,66,66,0,0,92,0,2130991,2010174,0,2010174,0,2608,0,2608,-1,0,0,2617,38.2068,38.2989
40,1,150000,50000,0,150000,0,50000,0,150000,0,67,54,0,0,75,0,1628590,1761164,0,1761164,0,2292,0,2291,-1,0,0,2303,43.4405,44.5073
41,1,150000,50000,0,149997,0,50000,0,150000,0,51,42,0,0,79,0,1430775,1660497,0,1660497,0,2166,0,2165,-1,0,0,2173,45.9876,44.8891
42,1,150000,50000,0,150000,0,50000,0,150000,0,55,55,0,0,97,0,2300311,2134432,0,2134432,0,2776,0,2775,-1,0,0,2783,35.9339,35.5244
43,1,150000,50292,0,120738,0,50000,0,121537,0,82,0,0,0,60,0,568714,866111,0,866111,0,1200,0,1200,-1,0,0,1716,58.2851,56.5642
44,1,150000,50001,0,149999,0,50000,0,150000,0,52,62,0,0,69,0,1037051,1374088,0,1374088,0,1821,0,1821,-1,0,0,1832,54.6106,56.1693
45,1,150000,50063,0,149985,0,50000,0,150000,0,41,51,0,0,82,0,1352351,1599892,0,1599892,0,2091,0,2091,-1,0,0,2104,47.5254,49.6257
46,1,150000,50049,0,149996,0,50000,0,150000,0,56,36,0,0,66,0,986287,1346123,0,1346123,0,1795,0,1795,-1,0,0,1804,55.4481,55.6345
47,1,150000,50033,0,149998,0,50000,0,150000,0,51,58,0,0,77,0,1679816,1772024,0,1772024,0,2317,0,2316,-1,0,0,2326,42.9888,42.7301
48,1,150000,50000,0,149965,0,50000,0,150000,0,51,53,0,0,78,0,1541761,1736281,0,1736281,0,2288,0,2288,-1,0,0,2289,43.6473,42.3968
49,1,150000,50038,0,149999,0,50000,0,150000,0,65,58,0,0,87,0,1848747,1850706,0,1850706,0,2415,0,2415,-1,0,0,2423,41.2882,41.4529
50,1,150000,50084,0,149999,0,50000,0,150000,0,54,76,0,0,95,0,2137040,1999788,0,1999788,0,2609,0,2608,-1,0,0,2612,38.2857,38.0564
51,1,150000,50000,0,149950,0,50000,0,150000,0,47,28,0,0,48,0,561846,950823,0,950823,0,1328,0,1328,-1,0,0,1336,74.8824,75.2397
52,1,150000,50000,0,71106,0,50000,0,71899,0,74,0,0,0,55,0,182044,270105,0,270105,0,369,0,366,-1,0,0,1715,58.3046,58.7982
53,1,150000,50000,0,149999,0,50000,0,150000,0,49,48,0,0,77,0,1345123,1554904,0,1554904,0,2042,0,2041,-1,0,0,2047,48.8749,48.9634
54,1,150000,50051,0,149995,0,50000,0,150000,0,50,62,0,0,97,0,2282486,2060623,0,2060623,0,2674,0,2674,-1,0,0,2683,37.2778,39.2351
55,1,150000,50000,0,149994,0,50000,0,150000,0,51,58,0,0,78,0,1579989,1734246,0,1734246,0,2263,0,2262,-1,0,0,2269,44.0917,43.5249
56,1,150000,50071,0,150000,0,50000,0,150000,0,50,43,0,0,63,0,947518,1360503,0,1360503,0,1800,0,1800,-1,0,0,1812,55.2104,54.5928
57,1,150000,50072,0,149999,0,50000,0,150000,0,51,51,0,0,78,0,1277863,1511447,0,1511447,0,1999,0,1999,-1,0,0,2002,49.923,50.493
58,1,150000,50000,0,149999,0,50000,0,150000,0,64,55,0,0,70,0,1152558,1418214,0,1418214,0,1882,0,1882,-1,0,0,1893,52.8499,55.5182
59,1,150000,50000,0,149967,0,50000,0,150000,0,42,51,0,0,69,0,1189203,1477084,0,1477084,0,1967,0,1967,-1,0,0,1972,50.69,51.2628
60,1,150000,50006,0,149987,0,50000,0,150000,0,59,54,0,0,85,0,1779787,1842712,0,1842712,0,2398,0,2398,-1,0,0,2407,41.5561,40.2275
61,1,150000,50022,0,149996,0,50000,0,150000,0,67,73,0,0,96,0,2345773,2156277,0,2156277,0,2784,0,2784,-1,0,0,2800,35.7224,36.3911
62,1,150000,50071,0,149999,0,50000,0,150000,0,46,31,0,0,52,0,642325,1059948,0,1059948,0,1440,0,1440,-1,0,0,1449,69.0518,69.3801
63,1,150000,50000,0,149987,0,50000,0,150000,0,53,50,0,0,72,0,1104258,1465220,0,1465220,0,1924,0,1924,-1,0,0,1933,51.7536,51.5931
64,1,150000,50000,0,149978,0,50000,0,150000,0,51,42,0,0,61,0,788286,1196438,0,1196438,0,1600,0,1600,-1,0,0,1608,62.2184,60.2391
65,1,150000,50000,0,149999,0,50000,0,150000,0,58,54,0,0,85,0,1506410,1692974,0,1692974,0,2263,0,2263,-1,0,0,2277,43.9337,43.5381
66,1,150000,50000,0,149976,0,50000,0,150000,0,44,50,0,0,66,0,995171,1356832,0,1356832,0,1805,0,1805,-1,0,0,1814,55.1539,55.6091
67,1,150000,50000,0,149998,0,50000,0,150000,0,50,59,0,0,81,0,1623610,1722232,0,1722232,0,2258,0,2258,-1,0,0,2269,44.056,44.2017
68,1,150000,50095,0,59464,0,50000,0,60200,0,88,0,0,0,58,0,85933,118068,0,118068,0,161,0,161,-1,0,0,1717,58.197,58.1691
