Lambda_0.01_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_1_Ny_0_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_6_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~600~600~e_RA_fTA~2000~2000~1600~1600~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1680,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,6,100000,50000,55094,99990,56396,50000,55094,100000,56535,48,37,0,0,74,16,483319,581034,1027,572935,8099,981,32,981,32,0,0,988,50.619,49.1469
2,6,100000,50000,55096,99928,56150,50000,55096,100000,56179,48,35,0,0,74,4,455429,564882,1025,564133,749,971,9,971,9,0,0,974,51.2754,51.586
3,6,100000,50092,55076,99988,56278,50000,55076,100000,56278,46,38,0,0,67,2,472048,597825,1045,597655,170,1030,2,1030,2,0,0,1037,48.2471,49.9992
4,6,100000,50000,55037,99994,56201,50000,55037,100000,56234,71,53,0,0,74,3,484202,596720,1084,596179,541,1041,4,1041,4,0,0,1048,47.745,46.4474
5,6,100000,50000,55109,99985,56378,50000,55109,100000,56378,47,53,0,0,61,11,490201,571877,1012,568401,3476,997,13,997,13,0,0,1005,49.8008,50.6648
6,6,100000,50012,55009,100000,56018,50000,55009,100000,56120,41,44,0,0,69,4,430675,551998,1112,551279,719,965,6,965,6,0,0,970,51.5893,51.5562
7,6,100000,50008,55023,99992,56185,50000,55023,100000,56185,47,59,0,0,68,2,473048,598465,1098,598357,108,1041,2,1041,2,0,0,1049,47.6851,46.5104
8,6,100000,50027,55045,99998,56143,50000,55045,100000,56145,53,43,0,0,68,4,496250,584285,1076,583817,468,1009,6,1009,6,0,0,1011,49.305,48.9185
9,6,100000,50000,55182,99984,56483,50000,55182,100000,56533,38,60,0,0,72,13,531331,595363,939,590038,5325,1019,23,1019,23,0,0,1030,48.5695,49.0072
10,6,100000,50000,55001,99991,56103,50000,55001,100000,56120,63,51,0,0,69,3,442437,567000,1120,566576,424,984,9,984,9,0,0,992,50.4309,48.4383
11,6,100000,50002,55011,99999,56132,50000,55011,100000,56137,62,57,0,0,75,5,565521,612732,1110,611642,1090,1058,12,1058,12,0,0,1064,47.0179,47.1217
12,6,100000,50052,55108,74144,56264,50000,55108,74531,56267,104,0,0,0,65,6,196296,273213,1013,271972,1241,461,9,461,9,0,0,1001,49.854,48.2793
13,6,100000,50000,55025,99971,56084,50000,55025,100000,56120,50,43,0,0,78,1,438267,546888,1096,546888,0,959,0,959,0,0,0,966,51.7834,52.1925
14,6,100000,50068,55006,99994,56192,50000,55006,100000,56239,56,40,0,0,71,7,461333,594155,1115,592277,1878,1020,19,1020,19,0,0,1029,48.6304,49.1389
15,6,100000,50094,55104,99996,56306,50000,55104,100000,56326,53,47,0,0,75,7,480230,583063,1017,580203,2860,1005,18,1005,18,0,0,1009,49.5466,49.8575
16,6,100000,50000,55003,99999,55968,50000,55003,100000,56120,45,45,0,0,68,1,429836,560196,1118,560196,0,974,0,974,0,0,0,978,51.086,48.2274
17,6,100000,50057,55175,99994,56071,50000,55175,100000,56120,49,53,0,0,68,2,472351,565046,946,564942,104,980,1,980,1,0,0,986,50.7431,52.8164
18,6,100000,50000,55006,99999,56105,50000,55006,100000,56120,44,51,0,0,67,1,502972,613347,1115,613347,0,1047,0,1047,0,0,0,1056,47.3934,47.0318
19,6,100000,50000,55037,99994,55986,50000,55037,100000,56120,63,67,0,0,72,2,487089,577915,1084,577877,38,1013,1,1013,1,0,0,1022,48.8639,49.6209
20,6,100000,50000,55012,99993,56039,50000,55012,100000,56120,44,52,0,0,68,3,398061,547535,1109,547155,380,961,9,960,9,0,0,965,51.8589,53.0056
21,6,100000,50000,55011,99954,56073,50000,55011,100000,56120,64,55,0,0,68,2,521836,591406,1110,591340,66,1027,1,1024,1,0,0,1031,48.5272,49.7995
22,6,100000,50000,55003,99981,56615,50000,55003,100000,56615,51,31,0,0,68,9,462151,582769,1118,579235,3534,998,15,998,15,0,0,1002,49.9311,50.9555
23,6,100000,50000,55004,99995,56280,50000,55004,100000,56284,57,65,0,0,66,6,483048,577913,1117,576336,1577,1002,9,1002,9,0,0,1009,49.5437,50.5535
24,6,100000,50105,55015,99999,56101,50000,55015,100000,56120,50,48,0,0,76,1,478071,590438,1106,590438,0,1021,0,1021,0,0,0,1029,48.6196,48.2531
25,6,100000,50000,55005,99995,56214,50000,55005,100000,56489,43,42,0,0,66,13,450532,579128,1116,574958,4170,989,18,988,18,0,0,995,50.2706,48.7353
26,6,100000,50002,55037,99995,55841,50000,55037,100000,56120,59,50,0,0,71,1,466640,558493,1084,558493,0,979,0,979,0,0,0,984,50.8647,54.8725
27,6,100000,50000,55051,99993,56258,50000,55051,100000,56265,62,70,0,0,81,7,503617,590506,1070,588468,2038,1021,15,1021,15,0,0,1028,48.6777,49.3597
28,6,100000,50180,55064,99983,56150,50000,55064,100000,56231,46,47,0,0,60,6,423519,551520,1057,550072,1448,951,9,951,9,0,0,957,52.2835,52.3283
29,6,100000,50000,55051,99988,56092,50000,55051,100000,56120,57,39,0,0,70,4,473799,585203,1070,584834,369,1012,11,1012,11,0,0,1020,49.0638,48.1944
30,6,100000,50040,55003,59387,56169,50000,55003,59970,56190,100,0,0,0,65,5,102546,136659,1118,135325,1334,203,14,203,14,0,0,1003,49.8812,49.1415
31,6,100000,50066,55010,99988,56035,50000,55010,100000,56120,49,41,0,0,67,6,449066,545330,1111,544154,1176,940,6,940,6,0,0,949,52.7363,53.7358
32,6,100000,50000,55027,99984,56093,50000,55027,100000,56120,59,36,0,0,66,4,503783,597986,1094,597163,823,1041,5,1041,5,0,0,1044,47.8293,48.8522
33,6,100000,50092,55012,100000,56098,50000,55012,100000,56120,56,54,0,0,71,2,508023,564606,1109,564606,0,979,1,979,0,0,0,983,50.8982,52.1667
34,6,100000,50061,55061,99992,56060,50000,55061,100000,56120,53,49,0,0,70,1,512961,623450,1060,623450,0,1071,0,1070,0,0,0,1077,46.4303,45.8221
35,6,100000,50068,55003,99997,56099,50000,55003,100000,56120,72,39,0,0,78,1,461521,580445,1118,580445,0,999,0,999,0,0,0,1007,49.662,49.172
36,6,100000,50019,55078,99995,56095,50000,55078,100000,56120,62,51,0,0,65,1,507915,584181,1043,584181,0,1014,0,1014,0,0,0,1017,49.188,47.7965
37,6,100000,50000,55144,99998,56299,50000,55144,100000,56332,62,43,0,0,76,9,487247,594457,977,592451,2006,1028,14,1028,14,0,0,1034,48.3611,49.0941
38,6,100000,50011,55088,99999,56005,50000,55088,100000,56120,52,52,0,0,89,2,536057,624706,1033,624685,21,1076,1,1076,1,0,0,1083,46.1386,44.3109
39,6,100000,50054,55186,99994,56257,50000,55186,100000,56297,50,53,0,0,63,10,371582,525235,935,522139,3096,920,19,920,19,0,0,928,53.8964,53.5128
40,6,100000,50000,55028,99985,56176,50000,55028,100000,56181,52,47,0,0,72,5,450969,569922,1093,569138,784,983,8,983,8,0,0,989,50.5729,49.5966
41,6,100000,50105,55018,99990,56171,50000,55018,100000,56171,68,47,0,0,77,5,453006,582988,1103,582075,913,1009,11,1009,11,0,0,1012,49.3145,48.6876
42,6,100000,50000,55003,99998,56136,50000,55003,100000,56157,61,50,0,0,68,3,448332,562974,1118,562650,324,984,6,984,6,0,0,995,50.2374,50.8479
43,6,100000,50017,55005,99984,56157,50000,55005,100000,56205,59,38,0,0,71,8,423592,564370,1116,562824,1546,968,15,968,15,0,0,977,51.2039,51.2613
44,6,100000,50000,55003,99985,56134,50000,55003,100000,56178,61,40,0,0,67,6,448127,534089,1118,533190,899,936,9,936,9,0,0,940,53.2375,56.7586
45,6,100000,50042,55080,99998,56311,50000,55080,100000,56311,37,43,0,0,69,7,516772,589357,1041,587707,1650,1029,9,1029,9,0,0,1040,48.1193,48.2044
46,6,100000,50000,55048,95769,56179,50000,55048,96100,56214,104,0,0,0,66,5,465588,549699,1073,548300,1399,938,18,938,18,0,0,1028,48.6826,53.1561
47,6,100000,50000,55071,100000,56114,50000,55071,100000,56120,71,69,0,0,70,1,522592,625505,1050,625505,0,1083,0,1081,0,0,0,1085,46.1245,45.0497
48,6,100000,50000,55047,99999,56093,50000,55047,100000,56120,48,39,0,0,69,1,397496,529868,1074,529868,0,926,0,926,0,0,0,930,53.704,52.9782
49,6,100000,50000,55080,99999,56108,50000,55080,100000,56120,55,51,0,0,67,4,482196,591573,1041,591147,426,1022,3,1021,3,0,0,1028,48.5716,50.2976
50,6,100000,50000,55009,99973,56190,50000,55009,100000,56190,55,54,0,0,73,4,529838,601735,1112,601028,707,1036,16,1036,16,0,0,1043,47.904,48.7984
51,6,100000,50000,55114,99994,56101,50000,55114,100000,56189,52,54,0,0,67,5,491078,600214,1007,598763,1451,1037,9,1036,9,0,0,1051,47.5629,45.8579
52,6,100000,50080,55013,99992,56082,50000,55013,100000,56120,56,50,0,0,66,4,460255,578255,1108,577649,606,996,6,996,6,0,0,1000,50.034,51.6973
53,6,100000,50079,55083,99978,56148,50000,55083,100000,56155,49,53,0,0,73,7,466215,586678,1038,584920,1758,1006,19,1006,19,0,0,1014,49.3317,47.933
54,6,100000,50000,55021,99995,56107,50000,55021,100000,56155,40,45,0,0,73,5,517266,592815,1100,591513,1302,1027,8,1026,8,0,0,1035,48.3337,48.5994
55,6,100000,50002,55092,100000,56190,50000,55092,100000,56190,55,63,0,0,66,5,467265,554873,1029,554379,494,972,9,972,9,0,0,982,50.9205,50.5331
56,6,100000,50000,55023,100000,56411,50000,55023,100000,56411,55,34,0,0,70,6,478301,571258,1098,569568,1690,984,13,982,13,0,0,993,50.376,52.0198
57,6,100000,50000,55019,99999,56106,50000,55019,100000,56120,62,48,0,0,72,1,492906,595707,1102,595707,0,1039,0,1038,0,0,0,1049,47.6937,47.9617
