Lambda_0.008_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_4_Ny_4_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_6_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~800~800~e_RA_fTA~2000~2000~3500~3500~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1580,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,6,100000,50113,55022,99998,57090,50000,55022,100000,57170,634,116,0,0,295,2,759785,1208961,2149,1208960,1,1772,1,1530,1,0,0,1546,32.356,31.8188
2,6,100000,50000,55104,100000,58203,50000,55104,100000,58250,557,124,0,0,396,10,988502,1399132,2067,1390029,9103,1981,55,1666,55,0,0,1656,30.1958,30.3644
3,6,100000,50024,55026,99995,59192,50000,55026,100000,59248,578,119,0,0,430,42,1170363,1666154,2145,1603033,63121,2133,95,1749,95,0,0,1689,29.612,30.5187
4,6,100000,50026,55070,99986,59243,50000,55070,100000,59273,568,120,0,0,393,29,947164,1444876,2101,1403816,41060,1935,71,1599,71,0,0,1555,32.1744,32.8769
5,6,100000,50062,55043,99997,57082,50000,55043,100000,57170,599,127,0,0,340,2,877485,1300819,2128,1300607,212,1868,9,1634,9,0,0,1645,30.3923,30.7091
6,6,100000,50020,55022,99995,57202,50000,55022,100000,57202,594,105,0,0,344,2,872414,1290564,2149,1290532,32,1878,2,1637,2,0,0,1661,30.091,31.0395
7,6,100000,50000,55003,99994,58224,50000,55003,100000,58225,546,117,0,0,403,8,1025885,1461331,2168,1455043,6288,1999,46,1668,45,0,0,1653,30.2343,30.7631
8,6,100000,50000,55012,99993,57141,50000,55012,100000,57170,601,106,0,0,342,3,967523,1320166,2159,1319901,265,1882,3,1648,3,0,0,1653,30.2022,31.4741
9,6,100000,50000,55104,99996,57147,50000,55104,100000,57174,581,98,0,0,371,5,905552,1316346,2067,1314791,1555,1898,22,1629,22,0,0,1641,30.4524,30.9554
10,6,100000,50000,55005,99998,57218,50000,55005,100000,57234,568,106,0,0,344,6,950604,1318894,2166,1317399,1495,1923,25,1637,25,0,0,1654,30.239,31.5505
11,6,100000,50000,55016,99997,61042,50000,55016,100000,61103,593,122,0,0,409,57,1128976,1746539,2155,1616812,129727,2089,158,1681,158,0,0,1572,31.825,31.7182
12,6,100000,50085,55050,100000,61668,50000,55050,100000,61681,597,115,0,0,441,82,1402435,2056278,2121,1867084,189194,2192,194,1774,194,0,0,1623,30.8052,29.1163
13,6,100000,50122,55016,99997,57078,50000,55016,100000,57170,587,112,0,0,287,3,867521,1259264,2155,1258877,387,1845,13,1630,13,0,0,1647,30.3287,31.0405
14,6,100000,50087,55017,99999,62692,50000,55017,100000,62692,543,129,0,0,441,106,1644500,2423871,2154,2117934,305937,2314,251,1867,251,0,0,1662,30.0807,30.0975
15,6,100000,50010,55141,100000,60550,50000,55141,100000,60550,584,123,0,0,473,78,1343774,1956148,2030,1806215,149933,2137,147,1745,147,0,0,1590,31.4632,31.2517
16,6,100000,50000,55111,99980,58788,50000,55111,100000,58788,605,118,0,0,432,21,1037957,1508160,2060,1490407,17753,2064,75,1681,75,0,0,1622,30.7946,30.6593
17,6,100000,50000,55002,99991,60638,50000,55002,100000,60725,592,117,0,0,441,77,1344450,1960438,2169,1796696,163742,2158,166,1754,166,0,0,1623,30.7768,31.2033
18,6,100000,50035,55145,99999,61479,50000,55145,100000,61498,586,122,0,0,434,85,1433951,1971142,2026,1789130,182012,2181,192,1790,192,0,0,1647,30.3141,31.5375
19,6,100000,50001,55124,99995,58461,50000,55124,100000,58498,604,113,0,0,417,13,917374,1351227,2047,1342050,9177,1883,55,1597,55,0,0,1578,31.6848,32.1678
20,6,100000,50000,55045,100000,59384,50000,55045,100000,59384,574,113,0,0,436,43,1062456,1643156,2126,1581564,61592,1992,130,1666,130,0,0,1596,31.348,31.96
21,6,100000,50029,55025,99990,57058,50000,55025,100000,57170,567,115,0,0,345,5,895868,1293878,2146,1293382,496,1860,16,1612,16,0,0,1624,30.7979,30.1173
22,6,100000,50000,55069,99999,60827,50000,55069,100000,60827,607,118,0,0,459,86,1280630,1891750,2102,1733594,158156,2213,175,1813,175,0,0,1698,29.4549,30.4334
23,6,100000,50000,55095,99999,60408,50000,55095,100000,60524,606,108,0,0,440,56,1251350,1874554,2076,1770139,104415,2177,136,1810,136,0,0,1708,29.249,28.9043
24,6,100000,50059,55009,99996,57140,50000,55009,100000,57170,565,131,0,0,319,3,881766,1298914,2162,1298913,1,1885,2,1637,1,0,0,1653,30.2639,30.7032
25,6,100000,50000,55033,99992,60115,50000,55033,100000,60166,571,105,0,0,422,75,1328860,1952202,2138,1825325,126877,2199,176,1810,176,0,0,1702,29.3804,30.0768
