Lambda_0.008_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_4_Ny_4_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_1_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~400~400~e_RA_fTA~2000~2000~10~10~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1780,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,1,100000,50000,55118,66709,55118,50000,55118,66986,55420,684,0,0,0,90,2,66471,115796,303,115679,117,353,1,353,1,0,0,1039,48.1628,51.0869
2,1,100000,50000,55201,57558,55382,50000,55201,57888,55420,677,0,0,0,84,3,27727,48461,220,48209,252,151,3,151,2,0,0,997,50.002,50.8216
3,1,100000,50000,55212,59614,55414,50000,55212,59907,55420,717,0,0,0,97,3,41580,70347,209,70314,33,214,3,214,2,0,0,1022,48.9638,49.8762
4,1,100000,50181,55089,70257,55315,50000,55089,70474,55420,648,0,0,0,77,6,65244,120833,332,120395,438,388,7,388,6,0,0,1040,48.0885,48.0816
5,1,100000,50106,0,52860,0,50000,0,53107,0,684,0,0,0,64,1,14499,22122,0,22122,0,68,0,68,-1,0,0,1034,48.3195,48.8779
6,1,100000,50148,0,53246,0,50000,0,53466,0,711,0,0,0,55,1,9889,19188,0,19188,0,60,0,60,-1,0,0,1028,48.6329,50.0175
7,1,100000,50196,55188,55301,55537,50000,55188,55450,55676,681,0,0,0,82,7,23290,36646,233,35886,760,114,8,114,8,0,0,1068,46.8529,47.4917
8,1,100000,50191,55040,73798,55370,50000,55040,74196,55420,657,0,0,0,77,7,80685,138378,381,138305,73,440,9,440,3,0,0,972,51.4583,51.3118
9,1,100000,50174,55204,55204,55341,50000,55204,55356,55485,673,0,0,0,76,3,15940,31371,217,31146,225,98,3,98,3,0,0,1009,49.5149,49.1816
10,1,100000,50000,0,51737,0,50000,0,51955,0,701,0,0,0,50,1,11942,15880,0,15880,0,50,0,50,-1,0,0,1022,48.9275,48.8667
11,1,100000,50000,0,51159,0,50000,0,51400,0,665,0,0,0,22,1,5535,6614,0,6614,0,22,0,22,-1,0,0,1034,48.4008,46.7667
12,1,100000,50000,0,51618,0,50000,0,51933,0,680,0,0,0,43,1,9017,13014,0,13014,0,43,0,43,-1,0,0,1085,46.1255,45.8375
13,1,100000,50000,55064,62852,55064,50000,55064,63081,55420,691,0,0,0,84,2,45529,83413,357,83350,63,248,1,248,1,0,0,1028,48.6611,49.0461
14,1,100000,50185,0,55069,0,50000,0,55282,0,660,0,0,0,80,1,21951,38389,0,38389,0,114,0,114,-1,0,0,1033,48.4302,48.9738
15,1,100000,50061,0,52368,0,50000,0,52666,0,643,0,0,0,52,1,8385,17218,0,17218,0,53,0,53,-1,0,0,1038,48.0608,47.3097
16,1,100000,50006,55103,70303,55453,50000,55103,70521,55459,642,0,0,0,90,5,76069,140791,318,140360,431,435,8,435,7,0,0,1033,48.3963,46.7913
17,1,100000,50000,0,53810,0,50000,0,54197,0,705,0,0,0,74,1,19017,29651,0,29651,0,88,0,88,-1,0,0,1061,47.1528,47.7902
18,1,100000,50289,55144,59599,55315,50000,55144,59938,55420,690,0,0,0,78,3,35675,61262,277,61037,225,193,3,193,3,0,0,1006,49.7104,51.0773
19,1,100000,50026,0,63920,0,50000,0,64138,0,651,0,0,0,82,1,48944,87128,0,87128,0,271,0,271,-1,0,0,1044,47.8744,49.3242
20,1,100000,50239,55267,56983,55458,50000,55267,57250,55517,656,0,0,0,91,3,26924,46202,154,45892,310,138,4,138,3,0,0,997,50.1817,53.358
21,1,100000,50000,55074,61344,55305,50000,55074,61593,55420,693,0,0,0,85,4,39720,81302,347,81102,200,246,5,245,4,0,0,1060,47.1955,46.4036
22,1,100000,50139,55201,58742,55624,50000,55201,58956,55631,653,0,0,0,80,6,36227,53716,220,52850,866,165,9,165,7,0,0,965,51.8651,52.4489
23,1,100000,50224,0,54375,0,50000,0,54764,0,634,0,0,0,67,1,13979,25868,0,25868,0,81,0,81,-1,0,0,922,54.2182,52.3004
24,1,100000,50304,55202,57618,55555,50000,55202,58017,55627,700,0,0,0,75,15,26837,49184,219,47825,1359,153,14,152,11,0,0,1010,49.4896,49.269
25,1,100000,50053,55065,56139,55734,50000,55065,56486,55932,670,0,0,0,90,12,25390,45173,356,42769,2404,141,19,141,19,0,0,976,51.241,51.378
26,1,100000,50000,0,53092,0,50000,0,53417,0,638,0,0,0,55,1,8141,17636,0,17636,0,60,0,60,-1,0,0,1018,49.1396,49.1098
27,1,100000,50034,55023,65731,55323,50000,55023,65946,55421,698,0,0,0,92,4,64829,108451,398,107758,693,337,5,337,5,0,0,1033,48.4457,49.6613
28,1,100000,50053,0,50439,0,50000,0,50688,0,681,0,0,0,8,1,693,1863,0,1863,0,8,0,8,-1,0,0,1031,48.4922,50.0451
29,1,100000,50076,55232,57371,55378,50000,55232,57632,55514,682,0,0,0,66,4,17951,37761,189,37445,316,124,4,124,4,0,0,994,50.3394,48.7382
30,1,100000,50189,55020,55871,55439,50000,55020,56083,55464,687,0,0,0,78,6,21700,36115,401,35908,207,116,7,116,6,0,0,1034,48.3737,49.3726
31,1,100000,50000,0,50782,0,50000,0,50996,0,669,0,0,0,11,1,1509,3204,0,3204,0,11,0,11,-1,0,0,1001,49.994,52.0138
32,1,100000,50000,0,51800,0,50000,0,52016,0,683,0,0,0,37,1,6062,10659,0,10659,0,37,0,36,-1,0,0,1037,48.2075,47.8353
33,1,100000,50000,55089,55089,55488,50000,55089,55138,55538,652,0,0,0,65,5,16633,29022,332,28914,108,90,4,90,3,0,0,1026,48.7532,49.5379
34,1,100000,50196,55249,60743,55352,50000,55249,60961,55425,667,0,0,0,84,4,38657,72269,172,72072,197,225,4,225,4,0,0,1030,48.518,47.7095
35,1,100000,50000,0,50340,0,50000,0,50627,0,646,0,0,0,11,1,1452,2440,0,2440,0,11,0,10,-1,0,0,1040,48.1107,48.889
36,1,100000,50193,55280,58547,55290,50000,55280,58852,55420,658,0,0,0,76,4,28656,55513,141,55396,117,171,3,171,3,0,0,1025,48.8203,49.6539
37,1,100000,50096,55103,58599,55210,50000,55103,58888,55420,684,0,0,0,72,4,23688,49922,318,49797,125,160,3,160,3,0,0,997,50.1757,48.8616
38,1,100000,50182,55221,55221,55403,50000,55221,55441,55609,684,0,0,0,72,2,19445,30626,200,30591,35,96,2,96,2,0,0,1069,46.735,45.2056
