from_id,to_id,from_point_x,from_point_y,to_point_x,to_point_y,counter,direction
0,1,0,0,500,0,1338,0
0,81,0,0,0,-200,2879,1
0,82,0,0,-200,0,1531,2
0,9,0,0,0,500,819,3
1,2,500,0,1000,0,1028,0
1,83,500,0,500,-200,1224,1
1,0,500,0,0,0,1598,2
1,10,500,0,500,500,1620,3
2,3,1000,0,1500,0,1102,0
2,84,1000,0,1000,-200,794,1
2,1,1000,0,500,0,1356,2
2,11,1000,0,1000,500,1261,3
3,4,1500,0,2000,0,1489,0
3,85,1500,0,1500,-200,1475,1
3,2,1500,0,1000,0,1099,2
3,12,1500,0,1500,500,1496,3
4,5,2000,0,2500,0,1958,0
4,86,2000,0,2000,-200,1142,1
4,3,2000,0,1500,0,1260,2
4,13,2000,0,2000,500,908,3
5,6,2500,0,3000,0,1710,0
5,87,2500,0,2500,-200,1073,1
5,4,2500,0,2000,0,1281,2
5,14,2500,0,2500,500,1462,3
6,7,3000,0,3500,0,1176,0
6,88,3000,0,3000,-200,1058,1
6,5,3000,0,2500,0,1242,2
6,15,3000,0,3000,500,2625,3
7,8,3500,0,4000,0,1254,0
7,89,3500,0,3500,-200,1268,1
7,6,3500,0,3000,0,999,2
7,16,3500,0,3500,500,973,3
8,90,4000,0,4200,0,2951,0
8,91,4000,0,4000,-200,1639,1
8,7,4000,0,3500,0,513,2
8,17,4000,0,4000,500,2325,3
9,10,0,500,500,500,883,0
9,0,0,500,0,0,2077,1
9,92,0,500,-200,500,1555,2
9,18,0,500,0,1000,1417,3
10,11,500,500,1000,500,687,0
10,1,500,500,500,0,1293,1
10,9,500,500,0,500,1584,2
10,19,500,500,500,1000,1318,3
11,12,1000,500,1500,500,1177,0
11,2,1000,500,1000,0,943,1
11,10,1000,500,500,500,1888,2
11,20,1000,500,1000,1000,1029,3
12,13,1500,500,2000,500,1175,0
12,3,1500,500,1500,0,1688,1
12,11,1500,500,1000,500,1557,2
12,21,1500,500,1500,1000,1452,3
13,14,2000,500,2500,500,752,0
13,4,2000,500,2000,0,1028,1
13,12,2000,500,1500,500,1549,2
13,22,2000,500,2000,1000,754,3
14,15,2500,500,3000,500,705,0
14,5,2500,500,2500,0,814,1
14,13,2500,500,2000,500,967,2
14,23,2500,500,2500,1000,1002,3
15,16,3000,500,3500,500,1043,0
15,6,3000,500,3000,0,1959,1
15,14,3000,500,2500,500,749,2
15,24,3000,500,3000,1000,3101,3
16,17,3500,500,4000,500,3254,0
16,7,3500,500,3500,0,1332,1
16,15,3500,500,3000,500,1023,2
16,25,3500,500,3500,1000,131,3
17,93,4000,500,4200,500,1867,0
17,8,4000,500,4000,0,3181,1
17,16,4000,500,3500,500,1073,2
17,26,4000,500,4000,1000,2172,3
18,19,0,1000,500,1000,2083,0
18,9,0,1000,0,500,2098,1
18,94,0,1000,-200,1000,1901,2
18,27,0,1000,0,1500,1714,3
19,20,500,1000,1000,1000,1212,0
19,10,500,1000,500,500,505,1
19,18,500,1000,0,1000,2297,2
19,28,500,1000,500,1500,1743,3
20,21,1000,1000,1500,1000,1225,0
20,11,1000,1000,1000,500,1545,1
20,19,1000,1000,500,1000,939,2
20,29,1000,1000,1000,1500,982,3
21,22,1500,1000,2000,1000,1095,0
21,12,1500,1000,1500,500,1673,1
21,20,1500,1000,1000,1000,1616,2
21,30,1500,1000,1500,1500,722,3
22,23,2000,1000,2500,1000,2457,0
22,13,2000,1000,2000,500,1045,1
22,21,2000,1000,1500,1000,923,2
22,31,2000,1000,2000,1500,824,3
23,24,2500,1000,3000,1000,3598,0
23,14,2500,1000,2500,500,536,1
23,22,2500,1000,2000,1000,1452,2
23,32,2500,1000,2500,1500,1726,3
24,25,3000,1000,3500,1000,4077,0
24,15,3000,1000,3000,500,2523,1
24,23,3000,1000,2500,1000,2052,2
24,33,3000,1000,3000,1500,1125,3
25,26,3500,1000,4000,1000,1626,0
25,16,3500,1000,3500,500,2670,1
25,24,3500,1000,3000,1000,2064,2
25,34,3500,1000,3500,1500,1163,3
26,95,4000,1000,4200,1000,598,0
26,17,4000,1000,4000,500,1201,1
26,25,4000,1000,3500,1000,2353,2
26,35,4000,1000,4000,1500,3061,3
27,28,0,1500,500,1500,1295,0
27,18,0,1500,0,1000,2610,1
27,96,0,1500,-200,1500,1450,2
27,36,0,1500,0,2000,1353,3
28,29,500,1500,1000,1500,2608,0
28,19,500,1500,500,1000,1441,1
28,27,500,1500,0,1500,1193,2
28,37,500,1500,500,2000,1423,3
29,30,1000,1500,1500,1500,1910,0
29,20,1000,1500,1000,1000,847,1
29,28,1000,1500,500,1500,1287,2
29,38,1000,1500,1000,2000,1473,3
30,31,1500,1500,2000,1500,1388,0
30,21,1500,1500,1500,1000,1522,1
30,29,1500,1500,1000,1500,664,2
30,39,1500,1500,1500,2000,1034,3
31,32,2000,1500,2500,1500,1435,0
31,22,2000,1500,2000,1000,1961,1
31,30,2000,1500,1500,1500,934,2
31,40,2000,1500,2000,2000,526,3
32,33,2500,1500,3000,1500,786,0
32,23,2500,1500,2500,1000,1834,1
32,31,2500,1500,2000,1500,842,2
32,41,2500,1500,2500,2000,2384,3
33,34,3000,1500,3500,1500,1010,0
33,24,3000,1500,3000,1000,1048,1
33,32,3000,1500,2500,1500,1531,2
33,42,3000,1500,3000,2000,2100,3
34,35,3500,1500,4000,1500,939,0
34,25,3500,1500,3500,1000,992,1
34,33,3500,1500,3000,1500,2170,2
34,43,3500,1500,3500,2000,893,3
35,97,4000,1500,4200,1500,1660,0
35,26,4000,1500,4000,1000,1887,1
35,34,4000,1500,3500,1500,2282,2
35,44,4000,1500,4000,2000,1600,3
36,37,0,2000,500,2000,1532,0
36,27,0,2000,0,1500,2325,1
36,98,0,2000,-200,2000,1282,2
36,45,0,2000,0,2500,652,3
37,38,500,2000,1000,2000,1577,0
37,28,500,2000,500,1500,2358,1
37,36,500,2000,0,2000,914,2
37,46,500,2000,500,2500,1681,3
38,39,1000,2000,1500,2000,1218,0
38,29,1000,2000,1000,1500,1282,1
38,37,1000,2000,500,2000,1861,2
38,47,1000,2000,1000,2500,2502,3
39,40,1500,2000,2000,2000,2008,0
39,30,1500,2000,1500,1500,1059,1
39,38,1500,2000,1000,2000,1346,2
39,48,1500,2000,1500,2500,981,3
40,41,2000,2000,2500,2000,864,0
40,31,2000,2000,2000,1500,1823,1
40,39,2000,2000,1500,2000,2040,2
40,49,2000,2000,2000,2500,1074,3
41,42,2500,2000,3000,2000,1116,0
41,32,2500,2000,2500,1500,1167,1
41,40,2500,2000,2000,2000,2020,2
41,50,2500,2000,2500,2500,1456,3
42,43,3000,2000,3500,2000,363,0
42,33,3000,2000,3000,1500,1635,1
42,41,3000,2000,2500,2000,1322,2
42,51,3000,2000,3000,2500,2063,3
43,44,3500,2000,4000,2000,783,0
43,34,3500,2000,3500,1500,557,1
43,42,3500,2000,3000,2000,1482,2
43,52,3500,2000,3500,2500,517,3
44,99,4000,2000,4200,2000,933,0
44,35,4000,2000,4000,1500,1937,1
44,43,4000,2000,3500,2000,709,2
44,53,4000,2000,4000,2500,2025,3
45,46,0,2500,500,2500,1616,0
45,36,0,2500,0,2000,2033,1
45,100,0,2500,-200,2500,564,2
45,54,0,2500,0,3000,1654,3
46,47,500,2500,1000,2500,1456,0
46,37,500,2500,500,2000,1738,1
46,45,500,2500,0,2500,1840,2
46,55,500,2500,500,3000,1060,3
47,48,1000,2500,1500,2500,1659,0
47,38,1000,2500,1000,2000,2492,1
47,46,1000,2500,500,2500,1229,2
47,56,1000,2500,1000,3000,2851,3
48,49,1500,2500,2000,2500,989,0
48,39,1500,2500,1500,2000,1125,1
48,47,1500,2500,1000,2500,2334,2
48,57,1500,2500,1500,3000,799,3
49,50,2000,2500,2500,2500,1404,0
49,40,2000,2500,2000,2000,1264,1
49,48,2000,2500,1500,2500,916,2
49,58,2000,2500,2000,3000,1077,3
50,51,2500,2500,3000,2500,402,0
50,41,2500,2500,2500,2000,1213,1
50,49,2500,2500,2000,2500,1202,2
50,59,2500,2500,2500,3000,2570,3
51,52,3000,2500,3500,2500,806,0
51,42,3000,2500,3000,2000,705,1
51,50,3000,2500,2500,2500,1682,2
51,60,3000,2500,3000,3000,785,3
52,53,3500,2500,4000,2500,578,0
52,43,3500,2500,3500,2000,1383,1
52,51,3500,2500,3000,2500,596,2
52,61,3500,2500,3500,3000,1846,3
53,101,4000,2500,4200,2500,604,0
53,44,4000,2500,4000,2000,1753,1
53,52,4000,2500,3500,2500,2375,2
53,62,4000,2500,4000,3000,1362,3
54,55,0,3000,500,3000,1290,0
54,45,0,3000,0,2500,1839,1
54,102,0,3000,-200,3000,1955,2
54,63,0,3000,0,3500,1007,3
55,56,500,3000,1000,3000,1128,0
55,46,500,3000,500,2500,1584,1
55,54,500,3000,0,3000,1403,2
55,64,500,3000,500,3500,1562,3
56,57,1000,3000,1500,3000,2262,0
56,47,1000,3000,1000,2500,1969,1
56,55,1000,3000,500,3000,2436,2
56,65,1000,3000,1000,3500,1229,3
57,58,1500,3000,2000,3000,1111,0
57,48,1500,3000,1500,2500,1706,1
57,56,1500,3000,1000,3000,1845,2
57,66,1500,3000,1500,3500,2649,3
58,59,2000,3000,2500,3000,1351,0
58,49,2000,3000,2000,2500,1424,1
58,57,2000,3000,1500,3000,3408,2
58,67,2000,3000,2000,3500,997,3
59,60,2500,3000,3000,3000,2345,0
59,50,2500,3000,2500,2500,869,1
59,58,2500,3000,2000,3000,1929,2
59,68,2500,3000,2500,3500,742,3
60,61,3000,3000,3500,3000,1870,0
60,51,3000,3000,3000,2500,935,1
60,59,3000,3000,2500,3000,986,2
60,69,3000,3000,3000,3500,928,3
61,62,3500,3000,4000,3000,1828,0
61,52,3500,3000,3500,2500,713,1
61,60,3500,3000,3000,3000,1065,2
61,70,3500,3000,3500,3500,1902,3
62,103,4000,3000,4200,3000,2306,0
62,53,4000,3000,4000,2500,2050,1
62,61,4000,3000,3500,3000,698,2
62,71,4000,3000,4000,3500,2048,3
63,64,0,3500,500,3500,1327,0
63,54,0,3500,0,3000,1514,1
63,104,0,3500,-200,3500,834,2
63,72,0,3500,0,4000,1130,3
64,65,500,3500,1000,3500,1669,0
64,55,500,3500,500,3000,908,1
64,63,500,3500,0,3500,1613,2
64,73,500,3500,500,4000,2068,3
65,66,1000,3500,1500,3500,1329,0
